;Chvatal;ICPL;IncLing;Random
model00001.xml to model00002.xml;0.964189377;0.948513514;0.964417139;0.961432667
model00002.xml to model00003.xml;0.99367659;0.961284788;0.993388731;0.990297704
model00003.xml to model00004.xml;0.995017441;0.995226643;0.994676707;0.991653829
model00004.xml to model00005.xml;0.997970804;0.997917772;0.997454819;0.994800765
model00005.xml to model00006.xml;0.980470895;0.980449806;0.981430213;0.979815588
model00006.xml to model00007.xml;0.986228169;0.986166587;0.990312989;0.970720562
model00007.xml to model00008.xml;0.957566305;0.957521459;0.958376481;0.955085189
model00008.xml to model00009.xml;0.992638834;0.99263787;0.992788259;0.989219557
model00009.xml to model00010.xml;0.98807959;0.988054036;0.988222029;0.983881827
