;chvatal;icpl;incling;random
model00001.xml to model00002.xml;0.119024949;0.007950817;0.08247481;0.118536979
model00002.xml to model00003.xml;0.988586072;0.002173737;0.989833652;0.980481163
model00003.xml to model00004.xml;0.991750256;0.991362766;0.987525088;0.983372822
model00004.xml to model00005.xml;0.995694497;0.997171791;0.994161171;0.988570913
model00005.xml to model00006.xml;0.965822319;0.96821965;0.96912381;0.96415137
model00006.xml to model00007.xml;0.856150237;0.85529211;0.591585387;0.839705552
model00007.xml to model00008.xml;0.90009975;0.89959235;0.462660518;0.894587354
model00008.xml to model00009.xml;0.794079078;0.794059148;0.771047394;0.787896219
model00009.xml to model00010.xml;0.981719272;0.975512902;0.939564572;0.965692192
