version1;version2;runtime
2017-05-22/;2017-09-28/;42
2017-09-28/;2017-10-20/;84
2017-10-20/;2017-11-20/;82
2017-11-20/;2017-12-22/;78
2017-12-22/;2018-01-23/;80
2018-01-23/;2018-02-20/;82
2018-02-20/;2018-03-26/;86
2018-03-26/;2018-04-23/;102
2018-04-23/;2018-05-09/;129
